company_id,company
1,Flash Cab
2,Taxicab Insurance Agency Llc
3,Chicago Independents
4,5 Star Taxi
5,Transit Administrative Center Inc
6,Globe Taxi
7,City Service
8,Sun Taxi
9,Chicago City Taxi Association
10,Blue Ribbon Taxi Association
11,Tac - Checker Cab Dispatch
12,Medallion Leasin
13,Choice Taxi Association Inc
14,312 Medallion Management Corp
15,Wolley Taxi
16,Tac - American United Dispatch
17,Patriot Taxi Dba Peace Taxi Associat
18,Chicago Taxicab
19,Tac - Yellow Cab Association
20,Setare Inc
21,Top Cab
22,Taxicab Insurance Agency  LLC
23,4053 - 40193 Adwar H. Nikola
24,2733 - 74600 Benny Jona
25,Star North Taxi Management Llc
26,6574 - Babylon Express Inc.
27,Tac - Blue Diamond Dispatch
28,Koam Taxi Association
29,3556 - 36214 RC Andrews Cab
30,U Taxicab
31,Tac - Yellow Non Color
32,5167 - 71969 5167 Taxi Inc
33,Metro Jet Taxi A.
